Date,Country,Value
3/1/2011,United Kingdom,0.6189
4/1/2011,United Kingdom,0.6105
5/1/2011,United Kingdom,0.6123
6/1/2011,United Kingdom,0.6166
7/1/2011,United Kingdom,0.6189
8/1/2011,United Kingdom,0.6114
9/1/2011,United Kingdom,0.6341
10/1/2011,United Kingdom,0.6342
11/1/2011,United Kingdom,0.6327
12/1/2011,United Kingdom,0.6416
1/1/2012,United Kingdom,0.6442
2/1/2012,United Kingdom,0.6328
3/1/2012,United Kingdom,0.632
4/1/2012,United Kingdom,0.625
5/1/2012,United Kingdom,0.628
6/1/2012,United Kingdom,0.6428
7/1/2012,United Kingdom,0.6413
8/1/2012,United Kingdom,0.6361
9/1/2012,United Kingdom,0.6201
10/1/2012,United Kingdom,0.6219
11/1/2012,United Kingdom,0.6263
12/1/2012,United Kingdom,0.6194
1/1/2013,United Kingdom,0.6264
2/1/2013,United Kingdom,0.6462
3/1/2013,United Kingdom,0.6631
4/1/2013,United Kingdom,0.6531
5/1/2013,United Kingdom,0.6537
6/1/2013,United Kingdom,0.6455
7/1/2013,United Kingdom,0.6588
8/1/2013,United Kingdom,0.645
9/1/2013,United Kingdom,0.6295
10/1/2013,United Kingdom,0.6212
11/1/2013,United Kingdom,0.6211
12/1/2013,United Kingdom,0.6104
1/1/2014,United Kingdom,0.6072
2/1/2014,United Kingdom,0.6039
3/1/2014,United Kingdom,0.6015
4/1/2014,United Kingdom,0.5971
5/1/2014,United Kingdom,0.5938
6/1/2014,United Kingdom,0.5914
7/1/2014,United Kingdom,0.586
8/1/2014,United Kingdom,0.5988
9/1/2014,United Kingdom,0.6139
10/1/2014,United Kingdom,0.6221
11/1/2014,United Kingdom,0.6341
12/1/2014,United Kingdom,0.6392
1/1/2015,United Kingdom,0.6604
2/1/2015,United Kingdom,0.6524
3/1/2015,United Kingdom,0.6685
4/1/2015,United Kingdom,0.6681
5/1/2015,United Kingdom,0.647
6/1/2015,United Kingdom,0.642
7/1/2015,United Kingdom,0.6427
8/1/2015,United Kingdom,0.6419
9/1/2015,United Kingdom,0.652
10/1/2015,United Kingdom,0.6518
11/1/2015,United Kingdom,0.6582
12/1/2015,United Kingdom,0.6675
